trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
166,False,"{'a': 0.4, 'e': 0.6599972463233836}",30,6,-54.42309249261731,"{0: 18, 1: 1, 2: 4, 3: 0, 4: 1}",1
167,False,"{'a': 0.4, 'e': 0.6583472532075751}",25,0,-135.1908738791636,"{0: 12, 1: 5, 2: 5, 3: 2, 4: 1}",0
168,False,"{'a': 0.4, 'e': 0.6567013850745563}",20,3,-64.13645615149424,"{0: 12, 1: 0, 2: 2, 3: 3, 4: 0}",1
169,False,"{'a': 0.4, 'e': 0.65505963161187}",20,0,-52.83343270593613,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 1}",0
170,False,"{'a': 0.4, 'e': 0.6534219825328403}",20,15,11.60857992532381,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
171,False,"{'a': 0.4, 'e': 0.6517884275765082}",20,8,-2.5693807707185554,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
172,False,"{'a': 0.4, 'e': 0.6501589565075669}",20,16,5.872165458058905,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
173,False,"{'a': 0.4, 'e': 0.6485335591162981}",35,10,-35.84341037109114,"{0: 20, 1: 2, 2: 2, 3: 0, 4: 1}",1
174,False,"{'a': 0.4, 'e': 0.6469122252185074}",20,15,1.6148937221933135,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
175,False,"{'a': 0.4, 'e': 0.6452949446554612}",30,11,-52.15909486701073,"{0: 15, 1: 0, 2: 2, 3: 1, 4: 1}",1
176,False,"{'a': 0.4, 'e': 0.6436817072938226}",25,0,-123.76333765571671,"{0: 17, 1: 3, 2: 1, 3: 2, 4: 2}",0
177,False,"{'a': 0.4, 'e': 0.642072503025588}",20,0,-40.57294518325483,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",0
178,False,"{'a': 0.4, 'e': 0.6404673217680241}",25,6,-131.5610270336491,"{0: 13, 1: 0, 2: 3, 3: 0, 4: 3}",1
179,False,"{'a': 0.4, 'e': 0.6388661534636041}",25,0,-98.74870539307875,"{0: 17, 1: 0, 2: 6, 3: 1, 4: 1}",0
180,False,"{'a': 0.4, 'e': 0.6372689880799451}",20,7,4.208618283266215,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 0}",1
181,False,"{'a': 0.4, 'e': 0.6356758156097453}",30,0,-93.74754389496572,"{0: 24, 1: 0, 2: 3, 3: 1, 4: 2}",0
